,slug
0,chessy-cultural-centre-by-opus-5-architectes
1,tsai-butcher-shop-conversion-by-tsai-design
2,uhlmann-office-building-by-barkow-leibinger
3,north-campus-librarynorthwest-af-university-by-tao-zhi-studio-scut
4,dome-by-wooton-designers
5,casa-calvinluo-shanghai-centre-by-say-architects
6,qondesa-by-mad
7,the-little-phoenix-kindergarten-in-simao-district-pu-er-city-by-tao-zhi-studio-architectural-design-and-research-institute-of-scut
8,murasaki-penguin-project-totsuka-by-kengo-kuma-and-associates
9,2021-asla-residential-design-award-of-honor-seaside-laguardia-design-group
10,casa-mateo-by-zozaya-arquitectos
11,meadow-house-by-waechter-architecture
12,innit-lombok-beachfront-living-by-andra-martin-and-dassociates
13,book-mountain-xinhua-bookstore-by-rayemilio-studio
14,luohe-food-vocational-college-library-information-comprehensive-building-china-by-architectural-design-research-institute-of-scut
15,bosch-szh215-parking-house-design-phase-i-by-arts-group-co-ltd
16,mpark-for-the-8th-anniversary-of-sino-ocean-taikoo-li-chengdu-by-roarc-renew
17,shaoxing-international-convention-and-exhibition-center-china-by-aube
18,flora-by-iaac-maebb
19,homemade-food-to-take-away-by-nan-arquitectos
20,flora-by-iaac-maebb
21,homemade-food-to-take-away-by-nan-arquitectos
22,babama-concept-store-by-atmosphere-architects
23,istanbul-modern-museum-by-renzo-piano-building-workshop
24,the-loma-apartment-by-esrawe-studio
25,millennium-ancient-tree-garden-of-kaisen-the-mysterious-forest-by-yoshiki-toda-landscape-architect
26,can-biel-4-houses-by-sau-taller-d-arquitectura
27,xun-pavilion-china-by-nomos-architects
28,montessori-kindergarten-jablonec-nad-nisou-by-mjolk-architekti-projektovy-atelier-david
29,villa-cava-by-espacio-18-arquitectura
30,lighting-design-of-nantou-ancient-town-by-gd-lighting-design
31,benlink-design-office-space-design-by-benlink-design
32,folding-roof-courtyard-china-by-mat-office
33,werk-restaurant-by-beef-architekti
34,breakers-sports-clinic-by-club-studio
35,pyramid-scope-by-peoples-architecture-office
36,nanjing-constitution-park-and-green-expo-park-urban-living-room-supporting-facilities-azla
37,388-barkly-street-by-breathe-architecture-dreamer
38,vipassana-by-nerve
39,landscape-design-of-the-11th-jiangsu-horticultural-expositions-main-pavilion-by-unlimited-landscape-architecture-studio-of-china-urban-construction-design-research-institute-co-ltd
40,art-museum-under-the-mountain-by-kejia-mei
41,hinge-farmhouse-by-objekt-architecten
42,guangzhou-south-railway-station-faxian-plaza-china-by-xaa
43,urban-secret-sihe-whisky-cocktail-bar-by-hoooldesign
44,polly-goudvisch-by-studio-modijefsky
45,bicycle-parking-stationsplein-amsterdam-by-wurck
46,education-hub-hangzhou-international-school-his-by-zhu-peidong-line-studio-gad
47,taikang-financial-centre-china-by-zaha-hadid-architects
48,renshou-campus-of-chengdu-foreign-language-school-by-rong-zhaohui-studio-zradi
49,pfs-digital-mortise-and-tenon-digital-furniture-store-china-by-spaceship-for-party-friends
50,foam-can-by-nendo
51,station-of-the-xili-lake-greenway-by-original-design-studio-tjad
52,cathedral-church-of-st-john-the-divine-ennead-architects
53,the-meles-zenawi-memorial-park-by-studio-other-spaces
54,home-in-la-pagoda-by-tambori-arquitectes
55,renovation-and-extension-of-the-coum-sports-complex-by-eno-architectes
56,kithara-music-public-kiosk-by-to-arquitectura
57,sun-island-resort-demiray-architects
58,dense-city-and-drawing-an-architectural-caterpillar-with-frp-by-benyuan-design-research-center
59,stamp-cafe-by-wooom-studio
